id,country,location,category,question,answer,organisation,source_title,source_url,language,last_verified
UG-BID-LEGAL-002,Uganda,Bidibidi,legal,"Who provides free legal help in Bidibidi and how do I reach them?","In Bidibidi, free legal assistance is provided by the International Rescue Committee (IRC). Services include legal counselling, information on Ugandan law, and help accessing the courts — all free of charge. For complaints, call the toll-free FRRM helpline 0800 32 32 32. In an emergency, call 999 or 112.","UNHCR / IRC","Legal Assistance - UNHCR Help Uganda","https://help.unhcr.org/uganda/services/legal/","English",2026-08-16
UG-BID-HEALTH-002,Uganda,Bidibidi,health,"How do I access health care and emergencies in Bidibidi?","In Bidibidi, health services are provided by the International Rescue Committee (IRC) at government and UNHCR-partner facilities, mostly free of charge and shared with the host community. For an emergency, contact your nearest Village Health Team (VHT) member by phone or in person; ambulances are sent for critical cases to the nearest health centre, with referral to district or regional hospitals if needed. For complaints, call the toll-free FRRM helpline 0800 32 32 32.","UNHCR / IRC","Health Services - UNHCR Help Uganda (Settlements)","https://help.unhcr.org/uganda/services/health/settlements/","English",2026-08-16
KE-KAK-GBV-001,Kenya,Kakuma,gbv,"I have experienced gender-based violence. Where can I get help in Kakuma?","In Kakuma, survivors of gender-based violence can get free, confidential help from the Danish Refugee Council (DRC). Call the toll-free helpline 0800720414 (7 days a week) or WhatsApp 0715573845, or visit the nearest DRC field office or UNHCR field post. Support includes case management, psychosocial support, and referral to medical care (ideally within 72 hours), to police, and to legal partners. To report a crime, go to the nearest police station; a female officer is available at Kakuma Main Police Station.","UNHCR / DRC","Sexual and Gender-Based Violence - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/sexual-and-gender-based-violence/","English",2026-08-16
KE-KAK-CHILD-001,Kenya,Kakuma,child_protection,"How do I report that a child is unaccompanied or at risk in Kakuma?","In Kakuma, child protection services are provided by the Danish Refugee Council (DRC) and, in Kalobeyei, by Terre des Hommes (TDH). To report a child who is unaccompanied, separated, or at risk, call the toll-free lines DRC 0800720414 or TDH 0800721774, or contact UNHCR directly. Child-friendly Furaha Centres offer play activities and case management.","UNHCR / DRC / TDH","Child Protection - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/child-protection/","English",2026-08-16
KE-KAK-MHPSS-001,Kenya,Kakuma,health,"Where can I get mental health or counselling support in Kakuma?","Mental health and psychosocial support is available free at health facilities across Kakuma and Kalobeyei, including counselling, psychotherapy, and medication. Providers include AIC (toll-free 0800720845), IRC (0800720605), and DRC (0800720414); specialised trauma support is offered by CVT and IsraAid (0712827444). Ask at any health centre to be referred.","UNHCR / AIC / IRC / DRC","Mental Health and Psychosocial Support - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/mhpss/","English",2026-08-16
UG-BID-REG-002,Uganda,Bidibidi,documentation,"How do I register the birth of my baby in the settlement?","Birth registration is free. First get the birth notification: from the health centre if the baby was born there, or record it with your local leaders and have it stamped by the sub-county if born elsewhere. Then take the notification and the baby to the OPM and UNHCR registration desk to add the child to your family attestation. Get a short birth certificate from your sub-county, then a long birth certificate from NIRA using the short certificate and the notification.","OPM / UNHCR / NIRA","Registering Birth - UNHCR Help Uganda","https://help.unhcr.org/uganda/services/registering-birth/","English",2026-08-16
UG-BID-GBV-001,Uganda,Bidibidi,gbv,"I have experienced gender-based violence. Where can I get help in Bidibidi?","In Bidibidi, survivors of gender-based violence can get free, confidential support from TPO Uganda. Help includes immediate medical care (for rape survivors: PEP against HIV, STI prophylaxis, and emergency contraception), counselling and clinical mental health care, legal assistance, and safe shelter or relocation when needed. Call the toll-free FRRM helpline 0800 32 32 32 or email protection@unhcr.org.","UNHCR / TPO Uganda","Gender-Based Violence - UNHCR Help Uganda","https://help.unhcr.org/uganda/services/violence/","English",2026-08-16
UG-BID-CHILD-001,Uganda,Bidibidi,child_protection,"How do I report an unaccompanied or at-risk child in Bidibidi?","In Bidibidi, child protection is provided by UNHCR together with IRC and World Vision. Support includes individual help for at-risk or separated children, family tracing and reunification, alternative care for unaccompanied or separated children, and referrals to psychosocial and medical care. To report a concern, call the toll-free helpline 0800 32 32 32. All services are free.","UNHCR / IRC / World Vision","Child Protection - UNHCR Help Uganda","https://help.unhcr.org/uganda/services/child-protection/","English",2026-08-16
UG-BID-BASIC-001,Uganda,Bidibidi,basic_needs,"What basic support (food, shelter, water, household items) do I get as a new refugee in the settlement?","New refugees in the settlements receive emergency shelter kits and non-food items such as blankets, sleeping mats, jerrycans, basins, soap and sanitary napkins. The World Food Programme (WFP) provides food assistance as cash or food; call the WFP helpline 0800210210 or 0800323232. Safe water is provided and emergency latrines are set up within 72 hours of arrival. Registered refugees also receive solar lanterns and regular soap and hygiene distributions. All UNHCR and partner services are free; for complaints call the FRRM helpline 0800 32 32 32.","UNHCR / WFP / OPM","Support in the Settlements - UNHCR Help Uganda","https://help.unhcr.org/uganda/services/support-in-settlements/","English",2026-08-16
KE-KAK-HEALTH-003,Kenya,Kakuma,health,What number do I call for an ambulance or medical emergency in Kakuma?,"Only call an ambulance for a life-saving emergency. In Kakuma 1, call 0719105775 (IRC). In Kakuma 2, 3 and 4, call 0719105549 (IRC). In Kalobeyei, call 0707173515 (KRCS).",IRC / KRCS,Health - UNHCR Help Kenya (Kakuma),https://help.unhcr.org/kenya/kakuma/,English,2026-08-16
KE-KAK-HEALTH-004,Kenya,Kakuma,health,"Which hospitals and health centres can I go to in Kakuma, and when are they open?","Ammusait General Hospital (Clinic 7) in Kakuma 4 and Kaapoka Health Centre in Kakuma 1, both run by IRC, are open 24 hours. Natukubenyo Health Centre in Kalobeyei Village 1 (KRCS) is also open 24 hours. Dispensaries and clinics open 8am to 3pm. The general hospital offers in-patient care, a surgery theatre and imaging (ultrasound and x-ray).",IRC / KRCS,Health - UNHCR Help Kenya (Kakuma),https://help.unhcr.org/kenya/kakuma/,English,2026-08-16
KE-KAK-LEGAL-003,Kenya,Kakuma,legal,Who provides legal help in Kakuma and how do I reach them?,"Free legal assistance in Kakuma is provided by the Refugee Consortium of Kenya (RCK). Call the toll-free line 0800 720 262 or the office line 0701 414 978. Legal aid clinics run at Compound 1, Field Post 1, Furaha Centre 2, Liz Ahua, the RCK office in Kakuma 4, and Kalobeyei Village 1. RCK also monitors detention at police stations and court processes.",UNHCR / RCK,Legal assistance - UNHCR Help Kenya (Kakuma),https://help.unhcr.org/kenya/kakuma/,English,2026-08-16
KE-KAK-CONTACT-001,Kenya,Kakuma,contacts,How do I contact UNHCR in Kenya or Kakuma?,"Call the free UNHCR Kenya Help Line 1517, available 24/7 every day. You can email helpline.kenya@unhcr.org in any language you wish. If you are in Kakuma, you can also write to kenkaprt@unhcr.org. Operators can advise on procedures, your rights, and the services available in your area.",UNHCR,Contacts - UNHCR Help Kenya,https://help.unhcr.org/kenya/,English,2026-08-16
